epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.319,1.63646,1.15398,1.35068,0.74601,0.67157,0.70164,0.36022,1.54962,1.14377,1.40825,0.000476112,0.000476112,0.000476112
2,402.431,1.61043,1.03111,1.354,0.79055,0.70604,0.76133,0.40665,1.47839,1.00455,1.36521,0.000858154,0.000858154,0.000858154
3,587,1.55167,0.92803,1.32551,0.80241,0.72357,0.77383,0.41985,1.45081,0.96808,1.34933,0.00114588,0.00114588,0.00114588
4,772.903,1.51517,0.86113,1.30361,0.82077,0.75448,0.81173,0.4633,1.39746,0.87427,1.32851,0.00100459,0.00100459,0.00100459
5,956.616,1.4779,0.80706,1.28307,0.84793,0.77891,0.84025,0.48264,1.35822,0.81449,1.29501,0.000863116,0.000863116,0.000863116
6,1138.72,1.44902,0.75472,1.2653,0.84752,0.79486,0.84168,0.49967,1.33349,0.80227,1.26727,0.000721645,0.000721645,0.000721645
7,1323.7,1.42022,0.72324,1.24645,0.84815,0.8151,0.85862,0.50822,1.31531,0.77259,1.26225,0.000580174,0.000580174,0.000580174
8,1510.5,1.39685,0.68904,1.2327,0.85527,0.82609,0.86787,0.52546,1.3012,0.72983,1.24917,0.000438703,0.000438703,0.000438703
9,1696.76,1.36874,0.65733,1.21908,0.85675,0.83039,0.87555,0.53566,1.26833,0.70899,1.23242,0.000297232,0.000297232,0.000297232
10,1890.64,1.34661,0.62523,1.20311,0.86608,0.84636,0.88237,0.54727,1.25674,0.67973,1.22601,0.000155761,0.000155761,0.000155761
